schemaname,tablename,indexname,indexdef
public,Complaints,IX_Complaints_OrderId,"CREATE INDEX ""IX_Complaints_OrderId"" ON public.""Complaints"" USING btree (""OrderId"")"
public,Complaints,idx_complaint_customer_created,"CREATE INDEX idx_complaint_customer_created ON public.""Complaints"" USING btree (""CustomerId"", ""CreatedAt"" DESC)"
public,Complaints,uq_complaint_active_customer_order_booth,"CREATE UNIQUE INDEX uq_complaint_active_customer_order_booth ON public.""Complaints"" USING btree (""CustomerId"", ""OrderId"", ""BoothId"") WHERE ((""Status"")::text = 'Pending'::text)"
public,Conversations,Conversations_pkey,"CREATE UNIQUE INDEX ""Conversations_pkey"" ON public.""Conversations"" USING btree (""Id"")"
public,Conversations,IX_Conversations_LastMessageId,"CREATE INDEX ""IX_Conversations_LastMessageId"" ON public.""Conversations"" USING btree (""LastMessageId"")"
public,Conversations,idx_conversation_booth_last_message,"CREATE INDEX idx_conversation_booth_last_message ON public.""Conversations"" USING btree (""BoothId"", ""LastMessageAt"")"
public,Conversations,idx_conversation_customer_last_message,"CREATE INDEX idx_conversation_customer_last_message ON public.""Conversations"" USING btree (""CustomerId"", ""LastMessageAt"")"
public,Conversations,idx_conversation_last_message,"CREATE INDEX idx_conversation_last_message ON public.""Conversations"" USING btree (""LastMessageAt"")"
public,Conversations,uq_conversation_customer_booth,"CREATE UNIQUE INDEX uq_conversation_customer_booth ON public.""Conversations"" USING btree (""CustomerId"", ""BoothId"")"
public,CustomerAllergenExclusion,IX_CustomerAllergenExclusion_AllergenId,"CREATE INDEX ""IX_CustomerAllergenExclusion_AllergenId"" ON public.""CustomerAllergenExclusion"" USING btree (""AllergenId"")"
public,CustomerAllergenExclusion,PK_CustomerAllergenExclusion,"CREATE UNIQUE INDEX ""PK_CustomerAllergenExclusion"" ON public.""CustomerAllergenExclusion"" USING btree (""CustomerId"", ""AllergenId"")"
public,CustomerAvoidedIngredient,IX_CustomerAvoidedIngredient_IngredientId,"CREATE INDEX ""IX_CustomerAvoidedIngredient_IngredientId"" ON public.""CustomerAvoidedIngredient"" USING btree (""IngredientId"")"
public,CustomerAvoidedIngredient,PK_CustomerAvoidedIngredient,"CREATE UNIQUE INDEX ""PK_CustomerAvoidedIngredient"" ON public.""CustomerAvoidedIngredient"" USING btree (""CustomerId"", ""IngredientId"")"
public,CustomerAvoidedTasteProfile,IX_CustomerAvoidedTasteProfile_TasteProfileId,"CREATE INDEX ""IX_CustomerAvoidedTasteProfile_TasteProfileId"" ON public.""CustomerAvoidedTasteProfile"" USING btree (""TasteProfileId"")"
public,CustomerAvoidedTasteProfile,PK_CustomerAvoidedTasteProfile,"CREATE UNIQUE INDEX ""PK_CustomerAvoidedTasteProfile"" ON public.""CustomerAvoidedTasteProfile"" USING btree (""CustomerId"", ""TasteProfileId"")"
public,CustomerDietaryRequirement,IX_CustomerDietaryRequirement_DietaryAttributeId,"CREATE INDEX ""IX_CustomerDietaryRequirement_DietaryAttributeId"" ON public.""CustomerDietaryRequirement"" USING btree (""DietaryAttributeId"")"
public,CustomerDietaryRequirement,PK_CustomerDietaryRequirement,"CREATE UNIQUE INDEX ""PK_CustomerDietaryRequirement"" ON public.""CustomerDietaryRequirement"" USING btree (""CustomerId"", ""DietaryAttributeId"")"
public,CustomerFoodProfile,PK_CustomerFoodProfile,"CREATE UNIQUE INDEX ""PK_CustomerFoodProfile"" ON public.""CustomerFoodProfile"" USING btree (""CustomerId"")"
public,CustomerPreference,CustomerPreference_pkey,"CREATE UNIQUE INDEX ""CustomerPreference_pkey"" ON public.""CustomerPreference"" USING btree (""Id"")"
public,CustomerPreference,idx_customerpreference_customer,"CREATE INDEX idx_customerpreference_customer ON public.""CustomerPreference"" USING btree (""CustomerId"")"
public,CustomerPreference,idx_customerpreference_foodtag,"CREATE INDEX idx_customerpreference_foodtag ON public.""CustomerPreference"" USING btree (""FoodTagId"")"
public,CustomerPreference,ux_customerpreference_tag_kind,"CREATE UNIQUE INDEX ux_customerpreference_tag_kind ON public.""CustomerPreference"" USING btree (""CustomerId"", ""FoodTagId"", ""PreferenceKind"")"
public,CustomerPreferredCourse,PK_CustomerPreferredCourse,"CREATE UNIQUE INDEX ""PK_CustomerPreferredCourse"" ON public.""CustomerPreferredCourse"" USING btree (""CustomerId"", ""Course"")"
public,CustomerPreferredDiningPurpose,PK_CustomerPreferredDiningPurpose,"CREATE UNIQUE INDEX ""PK_CustomerPreferredDiningPurpose"" ON public.""CustomerPreferredDiningPurpose"" USING btree (""CustomerId"", ""Purpose"")"
public,CustomerPreferredIngredient,IX_CustomerPreferredIngredient_IngredientId,"CREATE INDEX ""IX_CustomerPreferredIngredient_IngredientId"" ON public.""CustomerPreferredIngredient"" USING btree (""IngredientId"")"
public,CustomerPreferredIngredient,PK_CustomerPreferredIngredient,"CREATE UNIQUE INDEX ""PK_CustomerPreferredIngredient"" ON public.""CustomerPreferredIngredient"" USING btree (""CustomerId"", ""IngredientId"")"
public,CustomerPreferredPreparationMethod,IX_CustomerPreferredPreparationMethod_PreparationMethodId,"CREATE INDEX ""IX_CustomerPreferredPreparationMethod_PreparationMethodId"" ON public.""CustomerPreferredPreparationMethod"" USING btree (""PreparationMethodId"")"
public,CustomerPreferredPreparationMethod,PK_CustomerPreferredPreparationMethod,"CREATE UNIQUE INDEX ""PK_CustomerPreferredPreparationMethod"" ON public.""CustomerPreferredPreparationMethod"" USING btree (""CustomerId"", ""PreparationMethodId"")"
public,CustomerPreferredTasteProfile,IX_CustomerPreferredTasteProfile_TasteProfileId,"CREATE INDEX ""IX_CustomerPreferredTasteProfile_TasteProfileId"" ON public.""CustomerPreferredTasteProfile"" USING btree (""TasteProfileId"")"
public,CustomerPreferredTasteProfile,PK_CustomerPreferredTasteProfile,"CREATE UNIQUE INDEX ""PK_CustomerPreferredTasteProfile"" ON public.""CustomerPreferredTasteProfile"" USING btree (""CustomerId"", ""TasteProfileId"")"
public,DietaryAttribute,DietaryAttribute_pkey,"CREATE UNIQUE INDEX ""DietaryAttribute_pkey"" ON public.""DietaryAttribute"" USING btree (""Id"")"
public,DietaryAttribute,ux_dietaryattribute_code,"CREATE UNIQUE INDEX ux_dietaryattribute_code ON public.""DietaryAttribute"" USING btree (""Code"")"
public,EmailOutbox,IX_EmailOutbox_ReferenceId_EmailType,"CREATE UNIQUE INDEX ""IX_EmailOutbox_ReferenceId_EmailType"" ON public.""EmailOutbox"" USING btree (""ReferenceId"", ""EmailType"")"
public,EmailOutbox,PK_EmailOutbox,"CREATE UNIQUE INDEX ""PK_EmailOutbox"" ON public.""EmailOutbox"" USING btree (""Id"")"
public,FoodAiProfile,PK_FoodAiProfile,"CREATE UNIQUE INDEX ""PK_FoodAiProfile"" ON public.""FoodAiProfile"" USING btree (""FoodItemId"")"
public,FoodAiProfile,idx_foodaiprofile_contenthash,"CREATE INDEX idx_foodaiprofile_contenthash ON public.""FoodAiProfile"" USING btree (""ContentHash"")"
public,FoodCategories,FoodCategories_BoothId_Name_key,"CREATE UNIQUE INDEX ""FoodCategories_BoothId_Name_key"" ON public.""FoodCategories"" USING btree (""BoothId"", ""Name"") WHERE (""IsDeleted"" = false)"
public,FoodCategories,FoodCategories_pkey,"CREATE UNIQUE INDEX ""FoodCategories_pkey"" ON public.""FoodCategories"" USING btree (""Id"")"
public,FoodCategories,idx_foodcategory_booth,"CREATE INDEX idx_foodcategory_booth ON public.""FoodCategories"" USING btree (""BoothId"")"
public,FoodCategories,ux_foodcategory_code_active,"CREATE UNIQUE INDEX ux_foodcategory_code_active ON public.""FoodCategories"" USING btree (""Code"") WHERE (""IsDeleted"" = false)"
public,FoodImages,FoodImages_pkey,"CREATE UNIQUE INDEX ""FoodImages_pkey"" ON public.""FoodImages"" USING btree (""Id"")"
public,FoodImages,IX_FoodImages_FoodItemId,"CREATE INDEX ""IX_FoodImages_FoodItemId"" ON public.""FoodImages"" USING btree (""FoodItemId"")"
public,FoodItem,FoodItem_pkey,"CREATE UNIQUE INDEX ""FoodItem_pkey"" ON public.""FoodItem"" USING btree (""Id"")"
public,FoodItem,idx_fooditem_booth,"CREATE INDEX idx_fooditem_booth ON public.""FoodItem"" USING btree (""BoothId"")"
public,FoodItem,idx_fooditem_category,"CREATE INDEX idx_fooditem_category ON public.""FoodItem"" USING btree (""CategoryId"")"
public,FoodItemAllergen,IX_FoodItemAllergen_AllergenId,"CREATE INDEX ""IX_FoodItemAllergen_AllergenId"" ON public.""FoodItemAllergen"" USING btree (""AllergenId"")"
public,FoodItemAllergen,PK_FoodItemAllergen,"CREATE UNIQUE INDEX ""PK_FoodItemAllergen"" ON public.""FoodItemAllergen"" USING btree (""FoodItemId"", ""AllergenId"")"
public,FoodItemCourse,PK_FoodItemCourse,"CREATE UNIQUE INDEX ""PK_FoodItemCourse"" ON public.""FoodItemCourse"" USING btree (""FoodItemId"", ""Course"")"
public,FoodItemCourse,ux_fooditemcourse_primary,"CREATE UNIQUE INDEX ux_fooditemcourse_primary ON public.""FoodItemCourse"" USING btree (""FoodItemId"") WHERE (""IsPrimary"" = true)"
public,FoodItemDietaryAttribute,IX_FoodItemDietaryAttribute_DietaryAttributeId,"CREATE INDEX ""IX_FoodItemDietaryAttribute_DietaryAttributeId"" ON public.""FoodItemDietaryAttribute"" USING btree (""DietaryAttributeId"")"
public,FoodItemDietaryAttribute,PK_FoodItemDietaryAttribute,"CREATE UNIQUE INDEX ""PK_FoodItemDietaryAttribute"" ON public.""FoodItemDietaryAttribute"" USING btree (""FoodItemId"", ""DietaryAttributeId"")"
public,FoodItemDiningPurpose,PK_FoodItemDiningPurpose,"CREATE UNIQUE INDEX ""PK_FoodItemDiningPurpose"" ON public.""FoodItemDiningPurpose"" USING btree (""FoodItemId"", ""Purpose"")"
public,FoodItemIngredient,IX_FoodItemIngredient_IngredientId,"CREATE INDEX ""IX_FoodItemIngredient_IngredientId"" ON public.""FoodItemIngredient"" USING btree (""IngredientId"")"
public,FoodItemIngredient,PK_FoodItemIngredient,"CREATE UNIQUE INDEX ""PK_FoodItemIngredient"" ON public.""FoodItemIngredient"" USING btree (""FoodItemId"", ""IngredientId"")"
public,FoodItemPreparationMethod,IX_FoodItemPreparationMethod_PreparationMethodId,"CREATE INDEX ""IX_FoodItemPreparationMethod_PreparationMethodId"" ON public.""FoodItemPreparationMethod"" USING btree (""PreparationMethodId"")"
public,FoodItemPreparationMethod,PK_FoodItemPreparationMethod,"CREATE UNIQUE INDEX ""PK_FoodItemPreparationMethod"" ON public.""FoodItemPreparationMethod"" USING btree (""FoodItemId"", ""PreparationMethodId"")"
public,FoodItemPreparationMethod,ux_fooditempreparation_primary,"CREATE UNIQUE INDEX ux_fooditempreparation_primary ON public.""FoodItemPreparationMethod"" USING btree (""FoodItemId"") WHERE (""IsPrimary"" = true)"
public,FoodItemSearchFacet,IX_FoodItemSearchFacet_FoodSearchFacetId,"CREATE INDEX ""IX_FoodItemSearchFacet_FoodSearchFacetId"" ON public.""FoodItemSearchFacet"" USING btree (""FoodSearchFacetId"")"
public,FoodItemSearchFacet,PK_FoodItemSearchFacet,"CREATE UNIQUE INDEX ""PK_FoodItemSearchFacet"" ON public.""FoodItemSearchFacet"" USING btree (""FoodItemId"", ""FoodSearchFacetId"")"
public,FoodItemTag,FoodItemTag_pkey,"CREATE UNIQUE INDEX ""FoodItemTag_pkey"" ON public.""FoodItemTag"" USING btree (""FoodItemId"", ""FoodTagId"")"
public,FoodItemTag,idx_fooditemtag_foodtag,"CREATE INDEX idx_fooditemtag_foodtag ON public.""FoodItemTag"" USING btree (""FoodTagId"")"
public,FoodItemTasteProfile,IX_FoodItemTasteProfile_TasteProfileId,"CREATE INDEX ""IX_FoodItemTasteProfile_TasteProfileId"" ON public.""FoodItemTasteProfile"" USING btree (""TasteProfileId"")"
public,FoodItemTasteProfile,PK_FoodItemTasteProfile,"CREATE UNIQUE INDEX ""PK_FoodItemTasteProfile"" ON public.""FoodItemTasteProfile"" USING btree (""FoodItemId"", ""TasteProfileId"")"
public,FoodPrice,FoodPrice_pkey,"CREATE UNIQUE INDEX ""FoodPrice_pkey"" ON public.""FoodPrice"" USING btree (""Id"")"
public,FoodPrice,IX_FoodPrice_FoodItemId,"CREATE INDEX ""IX_FoodPrice_FoodItemId"" ON public.""FoodPrice"" USING btree (""FoodItemId"")"
public,FoodSearchFacet,FoodSearchFacet_pkey,"CREATE UNIQUE INDEX ""FoodSearchFacet_pkey"" ON public.""FoodSearchFacet"" USING btree (""Id"")"
public,FoodSearchFacet,ux_foodsearchfacet_code,"CREATE UNIQUE INDEX ux_foodsearchfacet_code ON public.""FoodSearchFacet"" USING btree (""Code"")"
public,FoodTag,FoodTag_pkey,"CREATE UNIQUE INDEX ""FoodTag_pkey"" ON public.""FoodTag"" USING btree (""Id"")"
public,FoodTag,ux_foodtag_code_active,"CREATE UNIQUE INDEX ux_foodtag_code_active ON public.""FoodTag"" USING btree (""Code"") WHERE (""IsDeleted"" = false)"
public,FoodTag,ux_foodtag_name_active,"CREATE UNIQUE INDEX ux_foodtag_name_active ON public.""FoodTag"" USING btree (""Name"") WHERE (""IsDeleted"" = false)"
public,Ingredient,Ingredient_pkey,"CREATE UNIQUE INDEX ""Ingredient_pkey"" ON public.""Ingredient"" USING btree (""Id"")"
public,Ingredient,idx_ingredient_normalized_name,"CREATE INDEX idx_ingredient_normalized_name ON public.""Ingredient"" USING btree (""NormalizedName"")"
public,Ingredient,ux_ingredient_code,"CREATE UNIQUE INDEX ux_ingredient_code ON public.""Ingredient"" USING btree (""Code"")"
public,LayoutBlocks,IX_LayoutBlocks_LayoutId,"CREATE INDEX ""IX_LayoutBlocks_LayoutId"" ON public.""LayoutBlocks"" USING btree (""LayoutId"")"
public,LayoutBlocks,IX_LayoutBlocks_ZoneId,"CREATE INDEX ""IX_LayoutBlocks_ZoneId"" ON public.""LayoutBlocks"" USING btree (""ZoneId"")"
public,LayoutBlocks,LayoutBlocks_pkey,"CREATE UNIQUE INDEX ""LayoutBlocks_pkey"" ON public.""LayoutBlocks"" USING btree (""Id"")"
public,LayoutEdges,IX_LayoutEdges_FromNodeId,"CREATE INDEX ""IX_LayoutEdges_FromNodeId"" ON public.""LayoutEdges"" USING btree (""FromNodeId"")"
public,LayoutEdges,IX_LayoutEdges_ToNodeId,"CREATE INDEX ""IX_LayoutEdges_ToNodeId"" ON public.""LayoutEdges"" USING btree (""ToNodeId"")"
public,LayoutEdges,LayoutEdges_pkey,"CREATE UNIQUE INDEX ""LayoutEdges_pkey"" ON public.""LayoutEdges"" USING btree (""Id"")"
public,LayoutEdges,ux_layoutedge_active,"CREATE UNIQUE INDEX ux_layoutedge_active ON public.""LayoutEdges"" USING btree (""LayoutId"", ""FromNodeId"", ""ToNodeId"") WHERE (""IsDeleted"" = false)"
public,LayoutNodes,IX_LayoutNodes_LayoutBlockId,"CREATE INDEX ""IX_LayoutNodes_LayoutBlockId"" ON public.""LayoutNodes"" USING btree (""LayoutBlockId"")"
public,LayoutNodes,IX_LayoutNodes_LayoutId,"CREATE INDEX ""IX_LayoutNodes_LayoutId"" ON public.""LayoutNodes"" USING btree (""LayoutId"")"
public,LayoutNodes,IX_LayoutNodes_ZoneId,"CREATE INDEX ""IX_LayoutNodes_ZoneId"" ON public.""LayoutNodes"" USING btree (""ZoneId"")"
public,LayoutNodes,LayoutNodes_pkey,"CREATE UNIQUE INDEX ""LayoutNodes_pkey"" ON public.""LayoutNodes"" USING btree (""Id"")"
